Registrar Name;RAA;;;Country;Accredited TLDs
CSL Computer Service Langenbach GmbH d/b/a joker.com;2009;1;;Germany;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Deutsche Telekom AG;2009;1;;Germany;.biz .com .info .mobi .name .net .org
DNS:NET Internet Service GmbH;2001;1;;Germany;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
domainfactory GmbH;2009;1;;Germany;.biz .com .info .name .net .org .pro
EPAG Domainservices GmbH;2009;1;;Germany;.aero .asia .biz .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
European NIC Inc.;2009;1;;Germany;.asia .biz .com .info .mobi .name .net .org .pro
Hetzner Online AG;2009;1;;Germany;.biz .com .info .name .net .org .pro
http.net Internet GmbH;2009;1;;Germany;.biz .com .info .mobi .name .net .org .tel
InterNetworX Ltd. & Co. KG;2009;1;;Germany;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Key-Systems GmbH;2009;1;;Germany;.aero .asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Kontent GmbH;2009;1;;Germany;.biz .com .info .name .net .org .pro
LEMARIT Domain Management GmbH;2009;1;;Germany;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
PSI-USA, Inc. dba Domain Robot;2009;1;;Germany;.aero .asia .biz .cat .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
RegistryGate GmbH;2009;1;;Germany;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
rockenstein AG;2009;1;;Germany;.biz .com .info .name .net .org .tel
Secura GmbH;2009;1;;Germany;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
united-domains AG;2009;1;;Germany;.aero .asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Variomedia AG dba puredomain.com;2009;1;;Germany;.aero .asia .biz .cat .com .info .mobi .name .net .org .pro .tel .xxx
Vautron Rechenzentrum AG;2001;1;;Germany;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Ghana Dot Com Ltd.;2009;1;1;Ghana;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Cloud Group Limited;2009;1;1;Gibraltar;.biz .com .info .jobs .name .net .org .pro
BoteroSolutions.com S.A.;2009;1;2;Honduras;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
